booster_id,booster_serial,total_flights,status,first_launch_date,last_launch_date,successful_landings,attempted_landings,fastest_turnaround,vehicle_config
43,B1036,2.0,expended,2017-06-25 20:25:18+00:00,2017-12-23 01:27:34+00:00,1.0,1.0,P180DT5H2M16S,Falcon 9 Full Thrust
8,B0003,1.0,expended,2010-06-04 18:45:00+00:00,2010-06-04 18:45:00+00:00,0.0,1.0,,Falcon 9 v1.0
9,B0004,1.0,lost,2010-12-08 15:43:00+00:00,2010-12-08 15:43:00+00:00,0.0,1.0,,Falcon 9 v1.0
10,B0005,1.0,lost,2012-05-22 07:44:38+00:00,2012-05-22 07:44:38+00:00,0.0,0.0,,Falcon 9 v1.0
11,B0006,1.0,lost,2012-10-08 00:35:07+00:00,2012-10-08 00:35:07+00:00,0.0,0.0,,Falcon 9 v1.0
12,B0007,1.0,lost,2013-03-01 15:10:13+00:00,2013-03-01 15:10:13+00:00,0.0,0.0,,Falcon 9 v1.0
13,B1003,1.0,lost,2013-09-29 16:00:13+00:00,2013-09-29 16:00:13+00:00,0.0,0.0,,Falcon 9 v1.1
14,B1004,1.0,lost,2013-12-03 22:41:00+00:00,2013-12-03 22:41:00+00:00,0.0,0.0,,Falcon 9 v1.1
15,B1005,1.0,lost,2014-01-06 22:06:00+00:00,2014-01-06 22:06:00+00:00,0.0,0.0,,Falcon 9 v1.1
16,B1006,1.0,lost,2014-04-18 19:25:22+00:00,2014-04-18 19:25:22+00:00,0.0,0.0,,Falcon 9 v1.1
17,B1007,1.0,lost,2014-07-14 15:15:00+00:00,2014-07-14 15:15:00+00:00,0.0,0.0,,Falcon 9 v1.1
18,B1008,1.0,lost,2014-08-05 08:00:00+00:00,2014-08-05 08:00:00+00:00,0.0,0.0,,Falcon 9 v1.1
20,B1010,1.0,lost,2014-09-21 05:52:03+00:00,2014-09-21 05:52:03+00:00,0.0,1.0,,Falcon 9 v1.1
19,B1011,1.0,lost,2014-09-07 05:00:00+00:00,2014-09-07 05:00:00+00:00,0.0,0.0,,Falcon 9 v1.1
21,B1012,1.0,lost,2015-01-10 09:47:10+00:00,2015-01-10 09:47:10+00:00,0.0,1.0,,Falcon 9 v1.1
22,B1013,1.0,lost,2015-02-11 23:03:32+00:00,2015-02-11 23:03:32+00:00,0.0,0.0,,Falcon 9 v1.1
23,B1014,1.0,lost,2015-03-02 03:50:00+00:00,2015-03-02 03:50:00+00:00,0.0,0.0,,Falcon 9 v1.1
24,B1015,1.0,lost,2015-04-14 20:10:41+00:00,2015-04-14 20:10:41+00:00,0.0,1.0,,Falcon 9 v1.1
25,B1016,1.0,lost,2015-04-27 23:03:00+00:00,2015-04-27 23:03:00+00:00,0.0,0.0,,Falcon 9 v1.1
